name,telescope,raj,decj,BW[MHz],center freq,S[Jy],F[Jy ms],Width[ms],DM,SNR,Tsys,gain,data?,ref,,,,,
FRB170707,ASKAP,02:59,-57:16,336,1297,14.8,52,3.5,235.2±0.6,9.5,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB170428,ASKAP,21:47,-41:51,336,1297,7.7,34,4.4,991.7±0.9,10.5,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB170416,ASKAP,22:13,-55:02,336,1320,19.4,97,5,523.2±0.2,13,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB170107,ASKAP,11:23.3,-05:00,336,1320,24.1,58,2.4,609.5±0.5,16,58,0.029,yes,https://www.nature.com/articles/s41586-018-0588-y,,,,,
FRB160608,UTMOST,07:36:42,-40:47:52,16,843,4.3,38.7,9,682±7,12,400,3,no,https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.3746C/abstract,,,,,
FRB160317,UTMOST,07:53:47,-29:36:31,16,843,3,63,21,1165±11,13,400,3,no,https://ui.adsabs.harvard.edu/abs/2017MNRAS.468.3746C/abstract,,,,,
FRB160102,parkes,22:38:49,-30:10:50,338.381,1352,0.5,1.8,3.4,2596.1±0.3,16,28,0.581,no,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.1427B/abstract,,,,,
FRB151206,parkes,19:21:25,-04:07:54,338.381,1352,0.3,0.9,3,1909.8±0.6,10,28,0.581,no,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.1427B/abstract,,,,,
FRB150807,parkes,22:42:31,-55:04:42,338.381,1352,128,44.8,0.35,266.5±0.1,0,28,0.581,no,https://ui.adsabs.harvard.edu/abs/2016Sci...354.1249R/abstract,,,,,
FRB150610,parkes,10:44:26,-40:05:23,338.381,1352,0.7,1.3,2,1593.9±0.6,18,28,0.581,no,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.1427B/abstract,,,,,
FRB150418,parkes,07:16:35,-19:00:40,338.381,1352,2.2,1.76,0.8,776.2±0.5,39,28,0.581,no,https://www.nature.com/articles/nature17140,,,,,DURO 6 DIAS EMITIENDO
FRB140514,parkes,22:34:06,-12:18:46,338.381,1352,0.47,1.32,2.816,562.7±0.6,16,28,0.735,yes,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,esta rara la referencia….
FRB131104,parkes,06:44:10,-51:16:40,338.381,1352,1.16,2.75,2.37,779±3,34,28,0.69,no,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,idem..esta rara
FRB130729,parkes,13:41:21,-05:59:43,338.381,1352,,,4,861±2,14,28,0.581,yes,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460L..30C/abstract,,,,,
FRB130626,parkes,16:27:06,-07:27:48,338.381,1352,,,0.12,952.4±0.1,20,28,0.735,yes,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460L..30C/abstract,,,,,
FRB121002,parkes,18:14:47,-85:11:53,338.381,1352,0.76,2.28,3,1629.18±0.02,16,28,0.581,yes,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460L..30C/abstract,,,,,
FRB120127,parkes,23:15:06,-18:25:38,338.381,1352,0.62,0.75,1.21,553.3±0.3,13,28,0.69,yes,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,idem..esta rara
FRB110703,parkes,23:30:51,-02:52:24,338.381,1352,0.45,1.75,3.9,1103.6±0.7,17,28,0.69,yes,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,idem..esta rara
FRB110626,parkes,21:03:43,-44:44:19,338.381,1352,0.4,0.56,1.4,723±0.3,11,28,0.581,yes,http://adsabs.harvard.edu/abs/2013Sci...341...53T,,,,,
FRB110220,parkes,22:34:38,-12:23:45,338.381,1352,1.11,7.31,6.59,944.38±0.05,54,28,0.69,yes,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,idem..esta rara
FRB110214,parkes,01:21:17,-49:47:11,338.381,1352,27,51.3,1.9,168.9±0.5,13,28,0.69,no,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.3109P/abstract,,,,,
FRB090625,parkes,03:07:47,-29:55:36,338.381,1352,1.14,2.19,1.92,899.55±0.01,30,28,0.69,yes,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.3109P/abstract,,,,,idem..esta rara
FRB010724,parkes,01:10:26,-75:14:14,288,1374,0.29,3.77,13,375±3,16,28,0.69,yes,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.3109P/abstract,,,,,
FRB010621,parkes,18:52:05,-08:29:35,288,1374,0.53,4.24,8,748±3,18,28,0.581,yes,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,idem..esta rara
FRB010312,parkes,05:26:54.9,-64:56:19.2,288,1374,0.15,5.6,37,1187±14,12,28,0.69,no,https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...41K/abstract,,,,,
FRB010125,parkes,19:06:53,-40:37:14,288,1372.5,0.54,5.72,10.6,790.3±3,25,28,0.69,yes,https://ui.adsabs.harvard.edu/abs/2016PASA...33...45P/abstract,,,,,idem..esta rara
